node_id,name,in_degree,out_degree,betweenness_centrality,clustering_coefficient,source_center,src_delay_minutes,src_sla_breaches,src_trips,destination_center,dest_delay_minutes,dest_sla_breaches,dest_trips,total_delay_minutes,total_sla_breaches,total_trips_handled,betweenness_rank,delay_rank,composite_rank
IND621010AAA,Thuraiyur_Mthrapuri_D (Tamil Nadu),1,1,2.377808389859123e-06,0.0,IND621010AAA,235.0,11.0,11.0,IND621010AAA,153.0,10.0,10.0,388.0,21.0,21.0,890.5,1000.5,945.5
IND621211AAA,Musiri_ThryrRD_D (Tamil Nadu),0,1,0.0,0.0,IND621211AAA,153.0,10.0,10.0,0,0.0,0.0,0.0,153.0,10.0,10.0,1290.0,1298.5,1294.25
IND621212AAA,Perambalur_goplpurm_D (Tamil Nadu),2,1,4.359315381408392e-06,0.3333333333333333,IND621212AAA,175.0,11.0,11.0,IND621212AAA,272.0,12.0,12.0,447.0,23.0,23.0,860.0,928.5,894.25
IND621704AAA,Ariyalur_Kmrajngr_D (Tamil Nadu),1,1,4.755616779718246e-06,1.0,IND621704AAA,385.0,12.0,12.0,IND621704AAA,175.0,11.0,11.0,560.0,23.0,23.0,855.0,812.0,833.5
IND621802AAA,Jayamkondan_Chithbrm_D (Tamil Nadu),1,2,5.1519181780281e-06,0.3333333333333333,IND621802AAA,253.0,10.0,10.0,IND621802AAA,385.0,12.0,12.0,638.0,22.0,22.0,852.0,730.0,791.0
IND581303AAA,Karwar_Central_D_1 (Karnataka),1,2,0.00020449152152788458,0.6666666666666666,IND581303AAA,271.0,11.0,14.0,IND581303AAA,869.0,13.0,13.0,1140.0,24.0,27.0,752.0,436.0,594.0
IND173220AAA,Parwanoo_Central_D_1 (Himachal Pradesh),1,2,1.321004661032846e-07,0.0,IND173220AAA,143.0,3.0,3.0,IND173220AAA,304.0,5.0,5.0,447.0,8.0,8.0,989.0,928.5,958.75
IND742121AAA,Nowda_AmtlaDPP_D (West Bengal),1,2,1.1889041949295614e-06,0.3333333333333333,IND742121AAA,795.0,11.0,11.0,IND742121AAA,287.0,9.0,9.0,1082.0,20.0,20.0,921.0,469.0,695.0
IND852118AAA,Forbesganj_JhumanCk_D (Bihar),2,2,0.00040601078256844516,0.6666666666666666,IND852118AAA,156.0,2.0,2.0,IND852118AAA,85.0,6.0,8.0,241.0,8.0,10.0,657.0,1196.5,926.75
IND854334AAA,Raniganj_Central_DPP_1 (Bihar),2,3,0.00142995452045153,0.5,IND854334AAA,84.0,8.0,12.0,IND854334AAA,297.0,8.0,8.0,381.0,16.0,20.0,262.0,1009.0,635.5
IND625008AAA,Madurai_Kappalur_H (Tamil Nadu),5,1,2.9326303474929184e-05,0.0,IND625008AAA,517.0,12.0,12.0,IND625008AAA,1706.0,44.0,46.0,2223.0,56.0,58.0,773.0,224.0,498.5
IND626117AAA,Rajpalayam_AshkTalk_D (Tamil Nadu),1,1,9.114932161126638e-06,0.0,IND626117AAA,54.0,4.0,9.0,IND626117AAA,232.0,12.0,12.0,286.0,16.0,21.0,819.0,1133.5,976.25
IND626123AAA,Sivakasi_Msstreet_DC (Tamil Nadu),1,1,2.2589179703661667e-05,0.0,IND626123AAA,530.0,12.0,12.0,IND626123AAA,517.0,12.0,12.0,1047.0,24.0,24.0,779.0,485.0,632.0
IND626138AAA,Maharajapuram_Krsnakcl_D (Tamil Nadu),1,1,2.377808389859123e-06,0.0,IND626138AAA,384.0,9.0,11.0,IND626138AAA,54.0,4.0,9.0,438.0,13.0,20.0,890.5,941.5,916.0
