source_center,source_name,destination_center,destination_name,median_delay_ratio,total_delay_minutes,sla_breach_count,total_trips
IND741156AAA,Plassey_BtaiRoad_D (West Bengal),IND742102AAB,Berhampore_Central_I_2 (West Bengal),2.4309269162210336,371,6,6
IND741165AAB,Nazirpur_Central_D_1 (West Bengal),IND742121AAB,Nowda_ArhamDPP_D (West Bengal),1.408450704225352,314,9,9
IND741201AAC,Ranaghat_ArickDPP_D (West Bengal),IND712311AAA,Kolkata_Dankuni_HB (West Bengal),15.60344827586207,848,1,1
IND742101AAC,Baharampur_Chuanpur_I (West Bengal),IND712311AAA,Kolkata_Dankuni_HB (West Bengal),2.9012345679012346,2131,7,7
IND742101AAC,Baharampur_Chuanpur_I (West Bengal),IND713130AAA,Katwa_BSarani_D (West Bengal),1.6666666666666667,198,3,3
IND742101AAC,Baharampur_Chuanpur_I (West Bengal),IND731237AAB,Morgram_Kntgorya_D (West Bengal),2.548387096774193,364,7,7
IND742101AAC,Baharampur_Chuanpur_I (West Bengal),IND741123AAB,Chapra_NagarDPP_D (West Bengal),2.31404958677686,160,1,1
IND742101AAC,Baharampur_Chuanpur_I (West Bengal),IND742202AAA,Dhulian_RatanDPP_D (West Bengal),2.574074074074074,86,1,1
IND742101AAC,Baharampur_Chuanpur_I (West Bengal),IND742303AAB,Domkal_Central_D_2 (West Bengal),2.413793103448276,319,7,7
IND742102AAB,Berhampore_Central_I_2 (West Bengal),IND712311AAA,Kolkata_Dankuni_HB (West Bengal),2.577639751552795,1179,4,4
IND742102AAB,Berhampore_Central_I_2 (West Bengal),IND713130AAA,Katwa_BSarani_D (West Bengal),2.1300438596491227,664,6,6
IND742102AAB,Berhampore_Central_I_2 (West Bengal),IND731237AAB,Morgram_Kntgorya_D (West Bengal),2.8666666666666667,349,5,5
IND742102AAB,Berhampore_Central_I_2 (West Bengal),IND742303AAB,Domkal_Central_D_2 (West Bengal),2.0689655172413794,189,6,6
IND742121AAA,Nowda_AmtlaDPP_D (West Bengal),IND742101AAC,Baharampur_Chuanpur_I (West Bengal),3.5217391304347827,518,6,6
IND742121AAA,Nowda_AmtlaDPP_D (West Bengal),IND742102AAB,Berhampore_Central_I_2 (West Bengal),3.4166666666666665,277,5,5
IND742121AAB,Nowda_ArhamDPP_D (West Bengal),IND742101AAC,Baharampur_Chuanpur_I (West Bengal),3.2972972972972974,86,1,1
IND742121AAB,Nowda_ArhamDPP_D (West Bengal),IND742121AAA,Nowda_AmtlaDPP_D (West Bengal),3.2142857142857144,287,9,9
IND742137AAA,Kandi_DohalDPP_D (West Bengal),IND742401AAA,Ghanashyampur_NditaDPP_D (West Bengal),2.161290322580645,103,3,3
IND742147AAA,Khargram_BoiDPP_D (West Bengal),IND742137AAA,Kandi_DohalDPP_D (West Bengal),1.736842105263158,47,3,3
IND742148AAA,Lalgola_KrsprDPP_D (West Bengal),IND742225AAA,Ragunthgnj_GopalDPP_D (West Bengal),4.0,431,9,9
IND742149AAA,Murshidabad_Sirjudol_D (West Bengal),IND742148AAA,Lalgola_KrsprDPP_D (West Bengal),2.6842105263157894,308,9,9
IND742149AAA,Murshidabad_Sirjudol_D (West Bengal),IND742225AAA,Ragunthgnj_GopalDPP_D (West Bengal),4.0,124,1,1
IND742202AAA,Dhulian_RatanDPP_D (West Bengal),IND712311AAA,Kolkata_Dankuni_HB (West Bengal),2.8873931623931623,685,2,2
IND742202AAA,Dhulian_RatanDPP_D (West Bengal),IND732103AAA,Malda_krshnPly_DC (West Bengal),4.594594594594595,134,1,1
IND742223AAA,Jangipur_Central_D_1 (West Bengal),IND742226AAA,Sagardighi_UtBzrDPP_D (West Bengal),1.5444444444444445,359,10,10
IND742225AAA,Ragunthgnj_GopalDPP_D (West Bengal),IND742223AAA,Jangipur_Central_D_1 (West Bengal),4.25,267,9,9
IND742226AAA,Sagardighi_UtBzrDPP_D (West Bengal),IND742101AAC,Baharampur_Chuanpur_I (West Bengal),2.0394736842105265,240,6,6
IND742226AAA,Sagardighi_UtBzrDPP_D (West Bengal),IND742102AAB,Berhampore_Central_I_2 (West Bengal),1.7297297297297298,129,5,5
IND742303AAB,Domkal_Central_D_2 (West Bengal),IND741165AAB,Nazirpur_Central_D_1 (West Bengal),3.2039473684210527,794,12,12
IND742401AAA,Ghanashyampur_NditaDPP_D (West Bengal),IND742101AAC,Baharampur_Chuanpur_I (West Bengal),3.0166666666666666,718,5,5
IND742401AAA,Ghanashyampur_NditaDPP_D (West Bengal),IND742102AAB,Berhampore_Central_I_2 (West Bengal),3.014925373134328,722,5,5
IND743235AAA,Bongaon_SukntDPP_D (West Bengal),IND743270AAA,Helencha_ColnyDPP_D (West Bengal),2.0789473684210527,43,2,2
IND743270AAA,Helencha_ColnyDPP_D (West Bengal),IND712311AAA,Kolkata_Dankuni_HB (West Bengal),14.64935064935065,1052,1,1
IND743347AAA,Kakdwip_KlngrDPP_D (West Bengal),IND700053AAA,CCU_New Alipore_DPC (West Bengal),3.7578125,711,4,4
IND743513AAA,Fatepur_NH117_D (West Bengal),IND743347AAA,Kakdwip_KlngrDPP_D (West Bengal),1.9054054054054055,314,8,8
IND751002AAB,Bhubaneshwar_Hub (Orissa),IND530012AAA,Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),1.6531665594165594,2196,10,10
IND751002AAB,Bhubaneshwar_Hub (Orissa),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),2.258734655335222,11876,9,9
IND751002AAB,Bhubaneshwar_Hub (Orissa),IND712311AAA,Kolkata_Dankuni_HB (West Bengal),2.0324647402820775,9272,22,22
IND751002AAB,Bhubaneshwar_Hub (Orissa),IND754103AAA,Jagatsghpr_Markndpr_D (Orissa),10.452104097452935,2421,6,6
IND751002AAB,Bhubaneshwar_Hub (Orissa),IND756100AAC,Bhadrak_Central_I_2 (Orissa),1.7929785107446277,732,10,10
IND751002AAB,Bhubaneshwar_Hub (Orissa),IND760003AAB,Berhampur_Khajuria_I (Orissa),1.9853197516069288,1396,8,8
IND751014AAA,Bhubaneswar_BjbNgr_DC (Orissa),IND751002AAB,Bhubaneshwar_Hub (Orissa),2.3125,85,4,4
IND751015AAA,Bhubaneshwar_Nayapalli (Orissa),IND751002AAB,Bhubaneshwar_Hub (Orissa),1.75,33,4,4
IND751015AAA,Bhubaneshwar_Nayapalli (Orissa),IND752050AAA,Khurdha_JatniDPP_D (Orissa),1.5,7,1,1
IND751015AAA,Bhubaneshwar_Nayapalli (Orissa),IND752055AAA,Khurdha_MunplDPP_D (Orissa),1.9130434782608696,22,1,1
IND751015AAA,Bhubaneshwar_Nayapalli (Orissa),IND752056AAA,Khurdha_MdhsnDPP_D (Orissa),2.1657894736842103,100,4,4
IND751021AAA,Bhubaneswar_Patia (Orissa),IND751002AAB,Bhubaneshwar_Hub (Orissa),2.909090909090909,22,1,1
IND752050AAA,Khurdha_JatniDPP_D (Orissa),IND751002AAB,Bhubaneshwar_Hub (Orissa),1.8636363636363635,20,1,1
IND752050AAA,Khurdha_JatniDPP_D (Orissa),IND752056AAA,Khurdha_MdhsnDPP_D (Orissa),2.0,8,1,1
IND752055AAA,Khurdha_MunplDPP_D (Orissa),IND751002AAB,Bhubaneshwar_Hub (Orissa),1.851851851851852,24,1,1
IND752056AAA,Khurdha_MdhsnDPP_D (Orissa),IND751002AAB,Bhubaneshwar_Hub (Orissa),1.8,17,1,1
IND754022AAA,Tangi_SriDPP_D (Orissa),IND751002AAB,Bhubaneshwar_Hub (Orissa),2.1986574746008705,128,2,2
IND754103AAA,Jagatsghpr_Markndpr_D (Orissa),IND754142AAA,Paradip_Udyabata_D (Orissa),2.145454545454545,64,1,1
IND754142AAA,Paradip_Udyabata_D (Orissa),IND754211AAA,Kendrpara_Kapleswr_D (Orissa),3.5384615384615383,67,1,1
